"country_group","Canceled","Not_canceled","n_total","pct_canceled","pct_not_canceled"
"PRT",27326,19694,47020,58.1156954487452,41.8843045512548
"BRA",829,1381,2210,37.5113122171946,62.4886877828054
"ITA",1332,2417,3749,35.5294745265404,64.4705254734596
"Other",4122,10538,14660,28.1173260572988,71.8826739427012
"ESP",2176,6312,8488,25.636192271442,74.363807728558
"CHE",428,1293,1721,24.8692620569436,75.1307379430564
"IRL",832,2537,3369,24.6957554170377,75.3042445829623
"USA",500,1585,2085,23.9808153477218,76.0191846522782
"GBR",2451,9600,12051,20.3385611152601,79.6614388847399
"BEL",472,1862,2334,20.222793487575,79.777206512425
"FRA",1932,8427,10359,18.6504488850275,81.3495511149725
"NLD",387,1712,2099,18.4373511195808,81.5626488804192
"DEU",1218,6028,7246,16.8092740822523,83.1907259177477
